"locale","object_class","field","foreign_key","content"
"fi","E100\\CoreBundle\\Entity\\Theme","title",1,"Jumala luo maailma"
"fi","E100\\CoreBundle\\Entity\\Theme","description",1,"Ensimmäisen Mooseksen kirjan lukuja 1-11 kutsutaan alkukertomuksiksi. Ne sisältävät kuvauksen maailman luomisesta, syntiinlankeemuksesta, ensimmäisen Messias-lupauksen (3:15) sekä kertomukset vedenpaisumuksesta ja Babylonin tornista. Raamatun ensimmäisten lukujen sanoma on äärimmäisen tärkeä: meidät on luotu Jumalan kuvaksi, mutta tämä kuva rikkoutui. Jumalalla oli kuitenkin korjaussuunnitelma valmiina. Raamattu ei kerro, milloin ja miten maailma luotiin. Nämä kysymykset on jätetty meidän tutkittavaksemme. Raamattu kertoo kuitenkin hyvin selvästi, kuka loi maailman ja miksi. Näihin kysymyksiin löytyy vastaus seuraavista lukukohdista."
"fi","E100\\CoreBundle\\Entity\\Theme","title",2,"Jumalan perh"
"fi","E100\\CoreBundle\\Entity\\Theme","description",2,"Luvusta 1. Moos. 12 alkaa kertomus Israelin kantaisistä eli patriarkoista. Seikkaperäisimmin kuvataan Abrahamin (aluksi Abram) elämää. Hänelle annetaan lupaus maasta, kansasta ja siunauksesta. Kaikki tämä siksi, että Jumalan lähettämä Messias kerran tulisi tuohon maahan ja tuon kansan jäseneksi. Läpi Vanhan testamentin seurataan juuri tämän maan (Israel) ja tämän kansan (juutalaiset) vaiheita. Uusi testamentti kertoo lupausten täyttymisestä, Jeesuksesta. Abraham eli vuoden 2000 paikkeilla ennen Kristusta. Arkeologian näkökulmasta katsottuna Lähi-idässä elettiin tuolloin keskipronssikautta."
"fi","E100\\CoreBundle\\Entity\\Theme","title",3,"Pahan jälkeen hyvä"
"fi","E100\\CoreBundle\\Entity\\Theme","description",3,"Abrahamille oli annettu ikuinen lupaus maasta, jonne hän lopulta saapuikin. Jaakobin poikien Egyptiin suuntautunut leivänhakumatka siirsi kuitenkin valitun kansan pois tästä luvatusta maasta. Jumala johdatti Joosefin kummallisten vaiheiden kautta Egyptiin jo etukäteen valmistamaan muille tietä. Tästä alkoi Jumalan kansan neljänsadan vuoden mittainen siirtolaisuus vieraassa maassa. Omaa maata koskevia lupauksia kerrottiin kuitenkin sukupolvelta toiselle ja näin tieto säilyi vuosisatojen ajan. Maanpakolaisaika Egyptissä oli raskas, sillä farao piti kansaa orjatyövoimana. Lupaus paremmasta tulevaisuudesta piti kuitenkin toivoa yllä. Joosefin aikana Egyptissä elettiin ns. hyksojen aikaa, jolloin ulkomaalaisia oli huomattavissa asemissa faraon hovissa."
"fi","E100\\CoreBundle\\Entity\\Theme","title",4,"Moose"
"fi","E100\\CoreBundle\\Entity\\Theme","description",4,"Egyptin Uuden valtakunnan tunnetuimman faraon, Ramses II (1279–1213 eKr.) hallintoaikana heprealaiset lopulta pääsevät lähtemään kohti luvattua maata. Raamatussa kerrotut vitsaukset ovat sellaisia, jollaisia on tapahtunut muulloinkin Egyptin historiassa, mutta nyt ne kasautuivat muistuttamaan faraota siitä, että Jumala haluaa päästää kansansa vapauteen. Vaikeuksien keskellä Egyptissä eläneestä Israelin kansasta oli muodostunut todellinen kansa. Vaikka Jumalan johdatukseen kuuluu kiertoteitä, se on aina paras tie. Egyptistä lähtö on Vanhan testamentin tärkein pelastushistoriallinen tapahtuma. Se muistuttaa meitä siitä, että Jumala haluaa pelastaa omansa synnistä ja maailmasta kulkemaan hänen lapsenaan kohti ikuista elämää."
"fi","E100\\CoreBundle\\Entity\\Theme","title",5,"Jumalan kansan haasteit"
"fi","E100\\CoreBundle\\Entity\\Theme","description",5,"Israelilaisten autiomaavaellus jämähti vuosikymmeniksi lähelle luvatun maan rajaa, koska epäusko valtasi kansan. Lopulta matka kuitenkin jatkui. Mooses sai nähdä maan Nebon vuorelta, mutta ei itse päässyt sinne. Maa valloitettiin Joosuan johdolla. Jerikon erikoinen valtaus muistutti kansaa siitä, että se selviää vaikeuksien yli Jumalan voimalla, ei omin voimin. Kuten Mooses, myös Joosua, on esikuva Jeesuksesta. Luvatun maan saavuttaminen on esikuva kristittyjen pääsemisestä perille taivaaseen. Maan valloittaminen tapahtui 1200–1100 -luvuilla eKr. Samaan aikaan Lähi-itään syntyi useita pieniä kansallisvaltioita. Arkeologiset kaivaukset osoittavat selvän kulttuurin murroksen: kanaanilaiskaupungit tuhoutuivat ja uudet asutukset valtasivat alaa."
